column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2012/1/4 11:00,2012,1,4,11,55,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 12:00,2012,1,4,12,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 13:00,2012,1,4,13,46,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 14:00,2012,1,4,14,47,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 15:00,2012,1,4,15,54,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 16:00,2012,1,4,16,47,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 17:00,2012,1,4,17,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 18:00,2012,1,4,18,54,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 19:00,2012,1,4,19,58,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 20:00,2012,1,4,20,55,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 21:00,2012,1,4,21,64,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 22:00,2012,1,4,22,64,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/4 23:00,2012,1,4,23,49,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 00:00,2012,1,5,0,53,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 01:00,2012,1,5,1,51,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 02:00,2012,1,5,2,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 03:00,2012,1,5,3,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 04:00,2012,1,5,4,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 05:00,2012,1,5,5,36,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 06:00,2012,1,5,6,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 07:00,2012,1,5,7,46,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 08:00,2012,1,5,8,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 09:00,2012,1,5,9,49,"电/m尝,1 Hr""",Valid,
